是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,合作日期,合作进度,合作模式,合作车型,合作量级,合作服务,合同签署日期,合同类型,预计视频交付,已上线视频,待补视频交付,视频交付完成率,合同交付平台拆分,合同交付解析状态,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3,合作周期
否,"{""link"":""https://www.tiktok.com/@renegadeb1ker?lang=zh-Hans"",""text"":""https://www.tiktok.com/@renegadeb1ker?lang=zh-Hans""}",tiktok,否,renegadeb1ker,"yozma, yozmasport，in10",US-Lexy-026,US,Lexy,2026-01-12,已出视频,已签同意书盖章,IN 10 Pro,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,293000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@curlybloxks/shorts"",""text"":""https://www.youtube.com/@curlybloxks/shorts""}",youtube,否,curlybloxks,"yozma, yozmasport，in10",US-Stefan-069,US,Stefan,2025-11-01,已出视频,不签合同，以brief为准,IN 10,腰部红人(100k-1M),不签合同，以brief为准,,,,0,,,,,234000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.instagram.com/jar7d_/"",""text"":""https://www.instagram.com/jar7d_/""}",instagramreels,否,jar7d_,"yozma, yozmasport，in10",US-Stefan-109,US,Stefan,2026-01-09,已出视频,已签同意书盖章,IN 10,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,168000,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@bikelifejelly6620/shorts"",""text"":""https://www.youtube.com/@bikelifejelly6620/shorts""}",youtubeshort,否,bikelifejelly,"yozma, yozmasport，in10",US-Stefan-053,US,Stefan,2025-11-01,已出视频,不签合同，以brief为准,IN 10,尾部红人(10k-100k),不签合同，以brief为准,,,,0,,,,,16700,营销总表,2026-06-22,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@StarlineWorld"",""text"":""https://www.youtube.com/@StarlineWorld""}",youtubevideo,是,starlineworld.co,"yozma, yozmasport，in10",US-Stefan-079,US,Stefan,2026-05-12,已出视频,不签合同,IN 10,赛事/活动,不签合同,,,,1,,,,,36600,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=8lEMiHgTA3M"",""link"":""https://www.youtube.com/watch?v=8lEMiHgTA3M""}",,,
否,"{""link"":""https://www.youtube.com/@akarozzy/videos"",""text"":""https://www.youtube.com/@akarozzy/videos""}",youtube,否,Rozzy,"yozma, yozmasport，in10",US-Stefan-003,US,Stefan,2026-06-18,待发货,已签合同,,腰部红人(100k-1M),已签合同,,,,0,,,,,50600,营销总表,2026-06-22,,,,,,,,一次性合作
否,"{""link"":""https://www.youtube.com/@jeffjdemhvac/shorts"",""text"":""https://www.youtube.com/@jeffjdemhvac/shorts""}",youtube,否,jeffjdemhvac,"yozma, yozmasport，in10",US-Stefan-068,US,Stefan,2025-11-01,已出视频,不签合同，以brief为准,IN 10,腰部红人(100k-1M),不签合同，以brief为准,,,,0,,,,,216000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.youtube.com/@T-Modz/shorts"",""text"":""https://www.youtube.com/@T-Modz/shorts""}",youtubeshort,是,T-Modz,"yozma, yozmasport，in10",US-Stefan-051,US,Stefan,2026-06-17,已签合同,已签合同,IN 10,尾部红人(10k-100k),内容红人,2026-04-09,免费,12,7,5,58%,YouTube Shorts 4条 / Instagram Reels 4条 / TikTok 4条,已解析,18900,营销总表,2026-06-22,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/NOI4Wa5YB2s"",""link"":""https://www.youtube.com/shorts/NOI4Wa5YB2s""}","{""text"":""https://www.youtube.com/shorts/-AgmkafbkCw"",""link"":""https://www.youtube.com/shorts/-AgmkafbkCw""}",,3个月
否,"{""link"":""https://www.instagram.com/909celebrity/"",""text"":""https://www.instagram.com/909celebrity/""}",instagramreels,否,909celebrity,"yozma, yozmasport，in10",US-Stefan-119,US,Stefan,2026-01-30,已出视频,不签任何文件,IN 10,腰部红人(100k-1M),不签任何文件,,,,0,,,,,680000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@eastcoastemoto"",""text"":""https://www.tiktok.com/@eastcoastemoto""}",tiktok,是,EastCoastEmoto,"yozma, yozmasport，in10",US-Ryan-001,US,Ryan,2026-03-05,已出视频,已签同意书盖章,IN 10 Pro,微型红人/KOC(1k-10k),已签同意书盖章,,,,13,,,,,17600,营销总表,2026-06-22,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@eastcoastemoto/video/7647592302403276062"",""link"":""https://www.tiktok.com/@eastcoastemoto/video/7647592302403276062""}","{""text"":""https://www.tiktok.com/@eastcoastemoto/video/7649864959953816863"",""link"":""https://www.tiktok.com/@eastcoastemoto/video/7649864959953816863""}",,
否,"{""link"":""https://www.youtube.com/@Leecampaign"",""text"":""https://www.youtube.com/@Leecampaign""}",youtubevideo,否,leecampaign,"yozma, yozmasport，in10",US-Lexy-031,US,Lexy,2026-02-22,已出视频,已签同意书盖章,,,已签同意书盖章,,,,0,,,,,,,,P0 立刻追踪,155,正在出单；2026普通达人需继续追上线,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@ZaySolis119/videos"",""text"":""https://www.youtube.com/@ZaySolis119/videos""}",youtubevideo,否,Zay Solis,"yozma, yozmasport，in10",US-Stefan-121,US,Stefan,2026-01-06,已出视频,已签合同盖章,IN 10 Pro,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,587000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.youtube.com/@68v_ebikes"",""text"":""https://www.youtube.com/@68v_ebikes""}",youtubevideo,否,68v_ebikes,"yozma, yozmasport，in10",US-Stefan-030,US,Stefan,2026-02-12,已出视频,已签同意书盖章,IN 10 Pro,尾部红人(10k-100k),已签同意书盖章,,,,34,,,,,48000,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
否,"{""link"":""https://www.tiktok.com/@cora.bklf"",""text"":""https://www.tiktok.com/@cora.bklf""}",tiktok,是,cora.bklf,"yozma, yozmasport，in10",EU-Ryan-002,EU,Ryan,2026-03-18,已发货,已签合同盖章,IN 10,尾部红人(10k-100k),已签合同盖章,,,,1,,,,,51000,营销总表,2026-06-22,,,,,"{""link"":""https://www.tiktok.com/@cora.bklf/video/7647081659149438240"",""text"":""https://www.tiktok.com/@cora.bklf/video/7647081659149438240""}",,,
否,"{""link"":""https://www.tiktok.com/@x3royce"",""text"":""https://www.tiktok.com/@x3royce""}",tiktok,否,x3.royce,"yozma, yozmasport，in10",US-Stefan-076,US,Stefan,2025-11-01,已出视频,不签合同，以brief为准,IN 10,尾部红人(10k-100k),不签合同，以brief为准,,,,0,,,,,13800,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.youtube.com/@anders_surron/shorts"",""text"":""https://www.youtube.com/@anders_surron/shorts""}",youtube,否,anders_surron,"yozma, yozmasport，in10",US-Stefan-104,US,Stefan,2025-12-22,已出视频,已签同意书盖章,IN 10 Pro,尾部红人(10k-100k),已签同意书盖章,,,,0,,,,,24500,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.youtube.com/@kcsnipess/videos"",""text"":""https://www.youtube.com/@kcsnipess/videos""}",youtubevideo,否,Kyle Cregg,"yozma, yozmasport，in10",US-Stefan-096,US,Stefan,2026-03-19,未出视频,已签合同盖章,IN 10 Pro,摄影师,已签合同盖章,,,,2,,,,,17600,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
