createdAt,finishedAt,task,status,message,days,maxItems,limitInfluencers,skipInfluencers,platformFilter,usageUsd,scraped,matched,videoCreated,videoSkipped,snapshotCreated
2026-07-20T02:29:32.334Z,2026-07-20T02:30:12.671Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,5,0,0,0,0
2026-07-20T02:26:23.646Z,2026-07-20T02:29:32.227Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.039,23,0,0,0,0
2026-07-20T02:25:22.371Z,2026-07-20T02:26:23.527Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,5,0,0,0,0
2026-07-20T02:23:28.351Z,2026-07-20T02:25:22.261Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,5,0,0,0,0
2026-07-20T02:21:51.589Z,2026-07-20T02:23:28.219Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.011,12,0,0,0,0
2026-07-20T02:20:13.401Z,2026-07-20T02:21:51.400Z,本地新视频发现,success,处理 5 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.019,12,2,2,0,2
2026-07-20T02:18:43.699Z,2026-07-20T02:20:13.300Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0.024,12,1,1,0,1
2026-07-20T02:18:13.599Z,2026-07-20T02:18:43.586Z,本地新视频发现,success,处理 1 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,7,1,0,youtubevideo,0,1,1,1,0,1
2026-07-20T02:17:36.784Z,2026-07-20T02:18:13.355Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T02:16:51.598Z,2026-07-20T02:17:36.660Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T02:16:03.457Z,2026-07-20T02:16:51.483Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.003,5,0,0,0,0
2026-07-20T02:14:28.974Z,2026-07-20T02:16:03.354Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T02:13:11.440Z,2026-07-20T02:14:28.844Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,7,0,0,0,0
2026-07-20T02:11:31.689Z,2026-07-20T02:13:11.325Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.004,6,1,1,0,1
2026-07-20T02:09:25.210Z,2026-07-20T02:11:31.573Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.008,7,1,1,0,1
2026-07-20T02:08:11.650Z,2026-07-20T02:09:25.099Z,本地新视频发现,success,处理 4 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.004,5,1,1,0,1
2026-07-20T02:06:49.731Z,2026-07-20T02:08:11.522Z,本地新视频发现,success,处理 4 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T02:05:54.655Z,2026-07-20T02:06:49.590Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T02:04:26.831Z,2026-07-20T02:05:54.531Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T02:03:06.469Z,2026-07-20T02:04:26.716Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.012,7,0,0,0,0
2026-07-20T02:01:32.437Z,2026-07-20T02:03:06.321Z,本地新视频发现,success,处理 4 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,4,0,0,0,0
2026-07-20T01:59:59.932Z,2026-07-20T02:01:32.331Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.012,8,0,0,0,0
2026-07-20T01:58:40.956Z,2026-07-20T01:59:59.805Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T01:57:13.027Z,2026-07-20T01:58:40.823Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0.012,10,1,1,0,1
2026-07-20T01:56:22.473Z,2026-07-20T01:57:12.894Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T01:54:51.957Z,2026-07-20T01:56:22.347Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-20T01:54:21.408Z,2026-07-20T01:54:51.841Z,本地新视频发现,success,处理 4 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,4,0,0,0,0
2026-07-20T01:53:45.741Z,2026-07-20T01:54:21.278Z,本地新视频发现,success,处理 4 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,4,0,0,0,0
2026-07-19T14:47:20.759Z,2026-07-19T14:48:10.106Z,本地新视频发现,success,处理 2 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,4,0,tiktok,0.098,32,0,0,0,0
2026-07-19T14:46:30.054Z,2026-07-19T14:47:20.652Z,本地新视频发现,success,处理 5 位，新增视频 4 条，跳过重复 0 条，错误 0 个。,7,20,5,0,tiktok,0.174,97,4,4,0,4
2026-07-19T14:45:50.978Z,2026-07-19T14:46:29.939Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,20,5,0,tiktok,0.061,100,1,1,0,1
2026-07-19T14:44:36.697Z,2026-07-19T14:45:50.883Z,本地新视频发现,success,处理 5 位，新增视频 3 条，跳过重复 0 条，错误 0 个。,7,20,5,0,tiktok,0.065,100,3,3,0,3
2026-07-19T14:44:36.603Z,2026-07-19T14:44:36.633Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,3,0,instagramreels,0,0,0,0,0,0
2026-07-19T14:44:13.590Z,2026-07-19T14:44:36.469Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0033,2,0,0,0,0
2026-07-19T14:41:55.359Z,2026-07-19T14:44:13.471Z,本地新视频发现,success,处理 5 位，新增视频 3 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0096,8,3,3,0,3
2026-07-19T14:39:51.767Z,2026-07-19T14:41:55.228Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0533,29,0,0,0,0
2026-07-19T14:38:06.300Z,2026-07-19T14:39:51.478Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.004,8,0,0,0,0
2026-07-19T14:37:10.137Z,2026-07-19T14:38:06.178Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0145,9,0,0,0,0
2026-07-19T14:35:52.202Z,2026-07-19T14:37:10.004Z,本地新视频发现,success,处理 4 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.0201,14,1,1,0,1
2026-07-19T14:33:57.155Z,2026-07-19T14:35:52.100Z,本地新视频发现,success,处理 4 位，新增视频 3 条，跳过重复 3 条，错误 0 个。,7,20,5,0,instagramreels,0.0523,31,6,3,3,3
2026-07-19T14:32:51.701Z,2026-07-19T14:33:56.996Z,本地新视频发现,success,处理 5 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,7,20,5,0,instagramreels,0.003,8,1,1,0,1
2026-07-19T14:32:51.608Z,2026-07-19T14:32:51.638Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,0,0,0,0,0
2026-07-19T14:32:51.524Z,2026-07-19T14:32:51.556Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,0,0,0,0,0
2026-07-19T14:32:51.445Z,2026-07-19T14:32:51.472Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,0,0,0,0,0
2026-07-19T14:32:51.366Z,2026-07-19T14:32:51.396Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,0,0,0,0,0
2026-07-19T14:32:51.285Z,2026-07-19T14:32:51.315Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,0,0,0,0,0
2026-07-19T14:32:34.967Z,2026-07-19T14:32:51.192Z,本地新视频发现,success,处理 2 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,2,0,0,0,0
2026-07-19T14:32:25.457Z,2026-07-19T14:32:34.864Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,20,5,0,youtubeshort,0,1,0,0,0,0
2026-07-19T14:32:25.342Z,2026-07-19T14:32:25.381Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,0,0,0,0,0
2026-07-19T14:31:54.288Z,2026-07-19T14:32:25.216Z,本地新视频发现,success,处理 4 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,4,0,0,0,0
2026-07-19T14:30:54.898Z,2026-07-19T14:31:54.154Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-19T14:30:09.319Z,2026-07-19T14:30:54.784Z,本地新视频发现,success,处理 5 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,5,0,0,0,0
2026-07-19T14:29:47.985Z,2026-07-19T14:30:09.210Z,本地新视频发现,success,处理 2 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,2,0,0,0,0
2026-07-19T14:29:27.066Z,2026-07-19T14:29:47.879Z,本地新视频发现,success,处理 2 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,2,0,0,0,0
2026-07-19T14:29:07.467Z,2026-07-19T14:29:26.967Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,3,0,0,0,0
2026-07-19T14:28:56.975Z,2026-07-19T14:29:07.364Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,1,0,0,0,0
2026-07-19T14:28:29.646Z,2026-07-19T14:28:56.797Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,3,0,0,0,0
2026-07-19T14:28:21.174Z,2026-07-19T14:28:29.516Z,本地新视频发现,success,处理 1 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,1,0,0,0,0
2026-07-19T14:28:21.059Z,2026-07-19T14:28:21.117Z,本地新视频发现,success,处理 0 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,7,7,5,0,youtubevideo,0,0,0,0,0,0
2026-07-12T17:17:21.804Z,2026-07-12T17:18:06.957Z,本地新视频发现,success,处理 3 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.123,60,1,1,0,1
2026-07-12T17:16:50.008Z,2026-07-12T17:17:21.766Z,本地新视频发现,success,处理 3 位，新增视频 5 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.002,60,5,5,0,5
2026-07-12T17:15:08.836Z,2026-07-12T17:16:49.977Z,本地新视频发现,success,处理 3 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.122,41,1,1,0,1
2026-07-12T17:14:37.943Z,2026-07-12T17:15:08.793Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.062,60,0,0,0,0
2026-07-12T17:13:59.053Z,2026-07-12T17:14:37.901Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.01,5,0,0,0,0
2026-07-12T17:13:05.992Z,2026-07-12T17:13:59.016Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.183,60,0,0,0,0
2026-07-12T17:10:48.463Z,2026-07-12T17:13:05.955Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.138,45,0,0,0,0
2026-07-12T17:10:18.142Z,2026-07-12T17:10:48.428Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.062,51,0,0,0,0
2026-07-12T17:09:29.678Z,2026-07-12T17:10:18.101Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.123,47,0,0,0,0
2026-07-12T17:08:20.608Z,2026-07-12T17:09:29.637Z,本地新视频发现,success,处理 4 位，新增视频 3 条，跳过重复 3 条，错误 0 个。,8,20,13,0,tiktok,0.062,80,6,3,3,3
2026-07-12T17:07:06.883Z,2026-07-12T17:08:20.568Z,本地新视频发现,success,处理 4 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.124,80,0,0,0,0
2026-07-12T17:05:44.719Z,2026-07-12T17:07:06.850Z,本地新视频发现,success,处理 4 位，新增视频 1 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.064,80,1,1,0,1
2026-07-12T17:04:38.303Z,2026-07-12T17:05:44.680Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.123,60,0,0,0,0
2026-07-12T17:03:30.140Z,2026-07-12T17:04:38.265Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.123,60,0,0,0,0
2026-07-12T17:02:44.747Z,2026-07-12T17:03:30.100Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.117,58,0,0,0,0
2026-07-12T17:01:25.999Z,2026-07-12T17:02:44.715Z,本地新视频发现,success,处理 4 位，新增视频 2 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.063,80,2,2,0,2
2026-07-12T17:00:53.927Z,2026-07-12T17:01:25.959Z,本地新视频发现,success,处理 3 位，新增视频 0 条，跳过重复 0 条，错误 0 个。,8,20,13,0,tiktok,0.063,60,0,0,0,0
