是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
是,"{""link"":""https://www.youtube.com/@yass_b1kestar/videos"",""text"":""https://www.youtube.com/@yass_b1kestar/videos""}",youtubevideo,否,yass_b1kestar,"yozma, yozmasport，in10",EU-Ryan-005,EU,Ryan,163000,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@clean_m6"",""text"":""https://www.youtube.com/@clean_m6""}",youtubevideo,否,clean_m6,"yozma, yozmasport，in10",US-Lexy-041,US,Lexy,4600,营销总表,2026-06-07,P0 立刻追踪,175,正在出单；2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@vlog_epicness"",""text"":""https://www.tiktok.com/@vlog_epicness""}",tiktok,否,VlogEpicness,"yozma, yozmasport，in10",US-Ryan-042,US,Ryan,7461,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/17.robby_/"",""text"":""https://www.instagram.com/17.robby_/""}",instagramreels,否,17.robby_,"yozma, yozmasport，in10",US-Stefan-157,US,Stefan,11400,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/ozbikedad/"",""text"":""https://www.instagram.com/ozbikedad/""}",instagramreels,否,[hidden],"yozma, yozmasport，in10",US-Nancy-014,US,Nancy,42200,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@thegripgod?lang=zh-Hans"",""text"":""https://www.tiktok.com/@thegripgod?lang=zh-Hans""}",tiktok,否,keelandadd,"yozma, yozmasport，in10",US-Ryan-028,US,Ryan,113000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@surron_fisher"",""text"":""https://www.tiktok.com/@surron_fisher""}",tiktok,否,Surron_Fisher,"yozma, yozmasport，in10",US-Ryan-002,US,Ryan,3828,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@rampedracing"",""text"":""https://www.tiktok.com/@rampedracing""}",tiktok,否,rampedracing,"yozma, yozmasport，in10",US-Lexy-046,US,Lexy,13900,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/_codybolton_/"",""text"":""https://www.instagram.com/_codybolton_/""}",instagramreels,是,_codybolton_,"yozma, yozmasport，in10",US-Lexy-063,US,Lexy,35000,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DYzsraJNfY8/"",""link"":""https://www.instagram.com/p/DYzsraJNfY8/""}","{""text"":""https://www.instagram.com/p/DYkAW72NwUI/"",""link"":""https://www.instagram.com/p/DYkAW72NwUI/""}","{""text"":""https://www.instagram.com/p/DYTosCbtOr4/"",""link"":""https://www.instagram.com/p/DYTosCbtOr4/""}"
否,"{""link"":""https://www.instagram.com/bikeliferex/"",""text"":""https://www.instagram.com/bikeliferex/""}",instagram,否,bikeliferex,"yozma, yozmasport，in10",US-Stefan-055,US,Stefan,457000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/jestonsendsit/reels/"",""text"":""https://www.instagram.com/jestonsendsit/reels/""}",instagramreels,否,jestonsendsit,"yozma, yozmasport，in10",US-Nancy-030,US,Nancy,154200,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@JudahParis/shorts"",""text"":""https://www.youtube.com/@JudahParis/shorts""}",youtubeshort,否,freego.judah,"yozma, yozmasport，in10",US-Nancy-005,US,Nancy,9730,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@bikelifejelly"",""text"":""https://www.tiktok.com/@bikelifejelly""}",tiktok,否,bikelifejelly,"yozma, yozmasport，in10",US-Stefan-053,US,Stefan,16700,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/dragsterfia"",""text"":""https://www.instagram.com/dragsterfia""}",instagramreels,否,dragsterfia,"yozma, yozmasport，in10",US-Ryan-022,US,Ryan,255000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
