是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
否,"{""link"":""https://www.youtube.com/@waywin_/videos"",""text"":""https://www.youtube.com/@waywin_/videos""}",youtubevideo,否,Waylon Tucker,"yozma, yozmasport，in10",US-Stefan-114,US,Stefan,234000,,,,,,,,,
否,"{""link"":""https://www.instagram.com/_bikesandbeards/"",""text"":""https://www.instagram.com/_bikesandbeards/""}",instagram,否,Bikes and Beards,"yozma, yozmasport，in10",US-Stefan-007,US,Stefan,2700000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@kahz1u"",""text"":""https://www.youtube.com/@kahz1u""}",youtubevideo,否,Kahz1,"yozma, yozmasport，in10",EU-Zoe-040,EU,Zoe,1560,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/vladimir_gaming07/"",""text"":""https://www.instagram.com/vladimir_gaming07/""}",instagramreels,是,c.fialcovschi,"yozma, yozmasport，in10",EU-Zoe-033,EU,Zoe,54400,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.instagram.com/p/DY4l6pCtq-J/"",""text"":""https://www.instagram.com/p/DY4l6pCtq-J/""}","{""text"":""https://www.instagram.com/p/DZLD5g9tnz-/"",""link"":""https://www.instagram.com/p/DZLD5g9tnz-/""}","{""text"":""https://www.instagram.com/p/DZLDS12tixx/"",""link"":""https://www.instagram.com/p/DZLDS12tixx/""}"
是,"{""link"":""https://www.instagram.com/volturbansantander/"",""text"":""https://www.instagram.com/volturbansantander/""}",instagramreels,否,volturban,"yozma, yozmasport，in10",EU-Zoe-048,EU,Zoe,7500,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@1.gunna"",""text"":""https://www.tiktok.com/@1.gunna""}",tiktok,,Ridstar Gunna,"yozma, yozmasport，in10",US-Stefan-050,US,Stefan,9000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@kairidstar"",""text"":""https://www.tiktok.com/@kairidstar""}",tiktok,,kairidstar,"yozma, yozmasport，in10",US-Stefan-046,US,Stefan,12200,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/337speed/"",""text"":""https://www.instagram.com/337speed/""}",instagramreels,是,337speed,"yozma, yozmasport，in10",US-Lexy-067,US,Lexy,387000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.instagram.com/p/DX-z4YJISff/"",""link"":""https://www.instagram.com/p/DX-z4YJISff/""}",,
是,"{""link"":""https://www.tiktok.com/@matheomiot?lang=en"",""text"":""https://www.tiktok.com/@matheomiot?lang=en""}",tiktok,否,miotmatheo249,"yozma, yozmasport，in10",EU-Zoe-051,EU,Zoe,125900,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@JonahPerry2030/shorts"",""text"":""https://www.youtube.com/@JonahPerry2030/shorts""}",youtubeshort,是,Jonah Perry,"yozma, yozmasport，in10",US-Stefan-155,US,Stefan,184000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.youtube.com/shorts/5JAYdBAjOKc"",""link"":""https://www.youtube.com/shorts/5JAYdBAjOKc""}",,
否,"{""link"":""https://www.youtube.com/@endoprysmofficial/shorts"",""text"":""https://www.youtube.com/@endoprysmofficial/shorts""}",youtubeshort,否,ENDOPRYSM,"yozma, yozmasport，in10",US-Stefan-006,US,Stefan,28900,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@OfficialChickenJoe/shorts"",""text"":""https://www.youtube.com/@OfficialChickenJoe/shorts""}",youtubeshort,否,officialchickenjoe,"yozma, yozmasport，in10",US-Ryan-013,US,Ryan,29000,营销总表,2026-06-07,P0 立刻追踪,175,正在出单；2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@kaizooms1"",""text"":""https://www.tiktok.com/@kaizooms1""}",tiktok,,kaizoom,"yozma, yozmasport，in10",US-Vivi-019,US,Vivi,16000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@bikelife_eddy"",""text"":""https://www.tiktok.com/@bikelife_eddy""}",tiktok,,bikelife_eddy,"yozma, yozmasport，in10",US-Stefan-073,US,Stefan,8000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@soflo.eride"",""text"":""https://www.tiktok.com/@soflo.eride""}",tiktok,,soflo.eride,"yozma, yozmasport，in10",US-Lexy-014,US,Lexy,8100,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@221lynx?lang=zh-Hans"",""text"":""https://www.tiktok.com/@221lynx?lang=zh-Hans""}",tiktok,,221lynx,"yozma, yozmasport，in10",US-Lexy-021,US,Lexy,124000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Clt.Cleary/shorts"",""text"":""https://www.youtube.com/@Clt.Cleary/shorts""}",youtube,,Evan Cleary,"yozma, yozmasport，in10",US-Stefan-100,US,Stefan,9200,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@darriusandersonn"",""text"":""https://www.tiktok.com/@darriusandersonn""}",tiktok,,darriusandersonn,"yozma, yozmasport，in10",US-Stefan-077,US,Stefan,372800,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@dudedealzofficial"",""text"":""https://www.youtube.com/@dudedealzofficial""}",youtube,,dudedealz,"yozma, yozmasport，in10",US-Nancy-021,US,Nancy,83200,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@dylonshogo/videos"",""text"":""https://www.youtube.com/@dylonshogo/videos""}",youtubevideo,否,dylonn,"yozma, yozmasport，in10",US-Stefan-025,US,Stefan,48500,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@Tuttzsi/videos"",""text"":""https://www.youtube.com/@Tuttzsi/videos""}",youtubevideo,否,tuttzsi,"yozma, yozmasport，in10",US-Lexy-022,US,Lexy,24700,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/_sanscoot/"",""text"":""https://www.instagram.com/_sanscoot/""}",instagramreels,否,sanscoot,"yozma, yozmasport，in10",EU-Zoe-028,EU,Zoe,55200,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@KyleDoesItAll-Official/shorts"",""text"":""https://www.youtube.com/@KyleDoesItAll-Official/shorts""}",youtube,,KyleDoesItAll,"yozma, yozmasport，in10",US-Stefan-065,US,Stefan,8300,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@andibaldi2"",""text"":""https://www.tiktok.com/@andibaldi2""}",tiktok,是,Andibaldi 2,"yozma, yozmasport，in10",EU-Zoe-030,EU,Zoe,77100,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@andibaldi2/video/7648197128782630176"",""link"":""https://www.tiktok.com/@andibaldi2/video/7648197128782630176""}",,
是,"{""link"":""https://www.tiktok.com/@star.moto.25?lang=zh-Hans"",""text"":""https://www.tiktok.com/@star.moto.25?lang=zh-Hans""}",tiktok,否,Starmoto,"yozma, yozmasport，in10",CA-Ryan-003,CA,Ryan,2000,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@SilOhms/videos"",""text"":""https://www.youtube.com/@SilOhms/videos""}",youtubevideo,否,silohms,"yozma, yozmasport，in10",US-Stefan-115,US,Stefan,3890,,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@rezyx790?_r=1&_t=ZG-94zZz28dUiu"",""text"":""https://www.tiktok.com/@rezyx790?_r=1&_t=ZG-94zZz28dUiu""}",tiktok,是,RezyX,"yozma, yozmasport，in10",EU-Zoe-007,EU,Zoe,4674,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@rezyx790/video/7647585896937573665"",""link"":""https://www.tiktok.com/@rezyx790/video/7647585896937573665""}","{""text"":""https://www.tiktok.com/@rezyx790/video/7647513105718611233"",""link"":""https://www.tiktok.com/@rezyx790/video/7647513105718611233""}","{""text"":""https://www.tiktok.com/@rezyx790/video/7647130411780345121"",""link"":""https://www.tiktok.com/@rezyx790/video/7647130411780345121""}"
否,"{""link"":""https://www.youtube.com/@Jaxon_472"",""text"":""https://www.youtube.com/@Jaxon_472""}",youtubevideo,否,jax_472_,"yozma, yozmasport，in10",US-Lexy-015,US,Lexy,7200,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@chrisscootz"",""text"":""https://www.tiktok.com/@chrisscootz""}",tiktok,是,chrisscootz,"yozma, yozmasport，in10",EU-Zoe-024,EU,Zoe,10400,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@chrisscootz/video/7646449134857112865"",""link"":""https://www.tiktok.com/@chrisscootz/video/7646449134857112865""}",,
是,"{""link"":""https://www.tiktok.com/@gio_biker_900"",""text"":""https://www.tiktok.com/@gio_biker_900""}",tiktok,,Gio_biker_900,"yozma, yozmasport，in10",EU-Zoe-012,EU,Zoe,150000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@Cruzinstuntzoriginal"",""text"":""https://www.youtube.com/@Cruzinstuntzoriginal""}",youtubevideo,否,cruzinstuntz,"yozma, yozmasport，in10",US-Stefan-074,US,Stefan,8700,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/clean_m6/"",""text"":""https://www.instagram.com/clean_m6/""}",instagramreels,否,clean_m6,"yozma, yozmasport，in10",US-Lexy-041,US,Lexy,4600,营销总表,2026-06-07,P0 立刻追踪,175,正在出单；2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/tuttzsi/"",""text"":""https://www.instagram.com/tuttzsi/""}",instagramreels,是,Tuttzsi,"yozma, yozmasport，in10",US-Lexy-022,US,Lexy,10000,营销总表,2026-06-07,,,,,"{""text"":""https://www.instagram.com/p/DZSeXagI8Eo/"",""link"":""https://www.instagram.com/p/DZSeXagI8Eo/""}","{""text"":""https://www.instagram.com/p/DZKrS3fIaOT/"",""link"":""https://www.instagram.com/p/DZKrS3fIaOT/""}",
否,"{""link"":""https://www.youtube.com/@x3Gavin"",""text"":""https://www.youtube.com/@x3Gavin""}",youtube,,x3gavin,"yozma, yozmasport，in10",US-Stefan-064,US,Stefan,7900,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@PatOutdoors/shorts"",""text"":""https://www.youtube.com/@PatOutdoors/shorts""}",youtubeshort,是,Pat Outdoors,"yozma, yozmasport，in10",US-Stefan-012,US,Stefan,57200,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/j_fMezcPuqw"",""link"":""https://www.youtube.com/shorts/j_fMezcPuqw""}",,
是,"{""link"":""https://www.youtube.com/@JoyOnWheelss/videos"",""text"":""https://www.youtube.com/@JoyOnWheelss/videos""}",youtubevideo,是,JoyOnWheels,"yozma, yozmasport，in10",EU-Zoe-017,EU,Zoe,236000,,,P0 立刻追踪,150,正在出单；2026已上线但仍出单,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=XFOC4H7w7oY"",""link"":""https://www.youtube.com/watch?v=XFOC4H7w7oY""}",,
否,"{""link"":""https://www.instagram.com/kellychameleons/"",""text"":""https://www.instagram.com/kellychameleons/""}",instagramreels,否,kellychameleons,"yozma, yozmasport，in10",US-Stefan-138,US,Stefan,133000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@emototrendz"",""text"":""https://www.tiktok.com/@emototrendz""}",tiktok,,emototrendz,"yozma, yozmasport，in10",US-Lexy-011,US,Lexy,9000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@freego.judah"",""text"":""https://www.tiktok.com/@freego.judah""}",tiktok,,freego.judah,"yozma, yozmasport，in10",US-Nancy-005,US,Nancy,37200,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@HKTROTT/videos"",""text"":""https://www.youtube.com/@HKTROTT/videos""}",youtubevideo,是,HKTROTT,"yozma, yozmasport，in10",EU-Zoe-036,EU,Zoe,10800,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=PfBq1I8n8WI"",""link"":""https://www.youtube.com/watch?v=PfBq1I8n8WI""}",,
否,"{""link"":""https://www.tiktok.com/@andersurron"",""text"":""https://www.tiktok.com/@andersurron""}",tiktok,,anders_surron,"yozma, yozmasport，in10",US-Stefan-104,US,Stefan,24500,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Maddii.951"",""text"":""https://www.youtube.com/@Maddii.951""}",youtube,,maddi.951,"yozma, yozmasport，in10",US-Stefan-092,US,Stefan,6100,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/keepingupwiththelewises2.0/"",""text"":""https://www.instagram.com/keepingupwiththelewises2.0/""}",instagram,,keepingupwiththelewises,"yozma, yozmasport，in10",US-Stefan-052,US,Stefan,200000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@MatixGarcia"",""text"":""https://www.youtube.com/@MatixGarcia""}",youtubevideo,否,matix.garcia,"yozma, yozmasport，in10",US-Lexy-060,US,Lexy,4600,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@x3__logan"",""text"":""https://www.tiktok.com/@x3__logan""}",tiktok,,x3__logan,"yozma, yozmasport，in10",US-Nancy-001,US,Nancy,7900,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@dragsterfia"",""text"":""https://www.tiktok.com/@dragsterfia""}",tiktok,,dragsterfia,"yozma, yozmasport，in10",US-Ryan-022,US,Ryan,255000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@BikeLifeConner/videos"",""text"":""https://www.youtube.com/@BikeLifeConner/videos""}",youtubevideo,否,bikelife.connor,"yozma, yozmasport，in10",US-Stefan-166,US,Stefan,356000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@yass_b1kestar?lang=zh-Hans"",""text"":""https://www.tiktok.com/@yass_b1kestar?lang=zh-Hans""}",tiktok,否,yass_b1kestar,"yozma, yozmasport，in10",EU-Ryan-005,EU,Ryan,163000,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@MK.Ridezz/shorts"",""text"":""https://www.youtube.com/@MK.Ridezz/shorts""}",youtubeshort,是,MK.R,"yozma, yozmasport，in10",US-Ryan-021,US,Ryan,49100,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/xNektUH-GzU"",""link"":""https://www.youtube.com/shorts/xNektUH-GzU""}","{""text"":""https://www.youtube.com/shorts/ZnB3QVaFSlQ"",""link"":""https://www.youtube.com/shorts/ZnB3QVaFSlQ""}","{""text"":""https://www.youtube.com/shorts/07p8dZbfudA"",""link"":""https://www.youtube.com/shorts/07p8dZbfudA""}"
是,"{""link"":""https://www.instagram.com/dylonn/"",""text"":""https://www.instagram.com/dylonn/""}",instagramreels,是,dylonn,"yozma, yozmasport，in10",US-Stefan-025,US,Stefan,89600,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DYTZDWdN7iW/"",""link"":""https://www.instagram.com/p/DYTZDWdN7iW/""}",,
是,"{""link"":""https://www.tiktok.com/@onewaycorey"",""text"":""https://www.tiktok.com/@onewaycorey""}",tiktok,否,oneway.rell,"yozma, yozmasport，in10",US-Vivi-017,US,Vivi,6700,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@JudahParis"",""text"":""https://www.youtube.com/@JudahParis""}",youtubevideo,否,freego.judah,"yozma, yozmasport，in10",US-Nancy-005,US,Nancy,9730,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@ridstarlaw"",""text"":""https://www.youtube.com/@ridstarlaw""}",youtube,,ridstarlaw,"yozma, yozmasport，in10",US-Vivi-007,US,Vivi,38500,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/ub.zya/"",""text"":""https://www.instagram.com/ub.zya/""}",instagram,,Ub.Zya,"yozma, yozmasport，in10",US-Stefan-066,US,Stefan,6200,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Rawstuntz/videos"",""text"":""https://www.youtube.com/@Rawstuntz/videos""}",youtubevideo,否,Rawstuntz,"yozma, yozmasport，in10",US-Stefan-029,US,Stefan,195000,,,,,,,,,
是,"{""link"":""https://www.instagram.com/etronnix/"",""text"":""https://www.instagram.com/etronnix/""}",instagramreels,是,etronnix,"yozma, yozmasport，in10",US-Lexy-012,US,Lexy,39200,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DYaS8X-pgFj/"",""link"":""https://www.instagram.com/p/DYaS8X-pgFj/""}","{""text"":""https://www.instagram.com/p/DZZGJtBNRla/"",""link"":""https://www.instagram.com/p/DZZGJtBNRla/""}",
是,"{""link"":""https://www.instagram.com/keelandadd/"",""text"":""https://www.instagram.com/keelandadd/""}",instagramreels,否,keelandadd,"yozma, yozmasport，in10",US-Ryan-028,US,Ryan,113000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@OnewayLilman/shorts"",""text"":""https://www.youtube.com/@OnewayLilman/shorts""}",youtubeshort,是,oneway lilman,"yozma, yozmasport，in10",US-Stefan-090,US,Stefan,1900000,,,,,,,"{""text"":""https://www.youtube.com/shorts/SDSiPH8GcFE"",""link"":""https://www.youtube.com/shorts/SDSiPH8GcFE""}",,
否,"{""link"":""https://www.youtube.com/@Mia.em1/shorts"",""text"":""https://www.youtube.com/@Mia.em1/shorts""}",youtubeshort,否,_mia.em,"yozma, yozmasport，in10",US-Stefan-011,US,Stefan,20000,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@onewaygooey_"",""text"":""https://www.tiktok.com/@onewaygooey_""}",tiktok,否,onewaygooey_,"yozma, yozmasport，in10",US-Ryan-016,US,Ryan,23000,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@paulsohard1"",""text"":""https://www.tiktok.com/@paulsohard1""}",tiktok,否,Paulsohard,"yozma, yozmasport，in10",US-Ryan-017,US,Ryan,237000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@HaydenAndersonVideos/videos"",""text"":""https://www.youtube.com/@HaydenAndersonVideos/videos""}",youtubevideo,否,hayden_anderson14,"yozma, yozmasport，in10",US-Lexy-024,US,Lexy,357800,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@mechanico_de/videos"",""text"":""https://www.youtube.com/@mechanico_de/videos""}",youtubevideo,是,MechaNico,"yozma, yozmasport，in10",EU-Zoe-021,EU,Zoe,13100,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=3UPas-QON9E"",""link"":""https://www.youtube.com/watch?v=3UPas-QON9E""}",,
否,"{""link"":""https://www.instagram.com/mopboyz/"",""text"":""https://www.instagram.com/mopboyz/""}",instagramreels,否,MOPBOYZ,"yozma, yozmasport，in10",US-Stefan-032,US,Stefan,140000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@kahzi52"",""text"":""https://www.tiktok.com/@kahzi52""}",tiktok,是,Kahz1,"yozma, yozmasport，in10",EU-Zoe-040,EU,Zoe,51600,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@kahzi52/video/7648198992383282445"",""link"":""https://www.tiktok.com/@kahzi52/video/7648198992383282445""}","{""text"":""https://www.tiktok.com/@kahzi52/video/7647543116496440606"",""link"":""https://www.tiktok.com/@kahzi52/video/7647543116496440606""}","{""text"":""https://www.tiktok.com/@kahzi52/video/7647276736543083806"",""link"":""https://www.tiktok.com/@kahzi52/video/7647276736543083806""}"
是,"{""link"":""https://www.youtube.com/@ENDUROGERMANY-official/videos"",""text"":""https://www.youtube.com/@ENDUROGERMANY-official/videos""}",youtubevideo,否,ENDUROGERMANY,"yozma, yozmasport，in10",EU-Zoe-045,EU,Zoe,191000,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@zw_squid_ink/videos"",""text"":""https://www.youtube.com/@zw_squid_ink/videos""}",youtube,,zw_squid_ink,"yozma, yozmasport，in10",US-Ryan-008,US,Ryan,76000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@ontherangeusa"",""text"":""https://www.tiktok.com/@ontherangeusa""}",tiktok,否,Morgan Mickel,"yozma, yozmasport，in10",US-Stefan-172,US,Stefan,11800,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@bluestaffyboulder"",""text"":""https://www.tiktok.com/@bluestaffyboulder""}",tiktok,,bluestaffyboulder,"yozma, yozmasport，in10",UK-Lexy-001,UK,Lexy,238000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@wileyrides"",""text"":""https://www.tiktok.com/@wileyrides""}",tiktok,否,wileyrides,"yozma, yozmasport，in10",US-Stefan-143,US,Stefan,38800,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@kuggokid/shorts"",""text"":""https://www.youtube.com/@kuggokid/shorts""}",youtubeshort,是,kuggokid,"yozma, yozmasport，in10",US-Vivi-015,US,Vivi,6060,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/j4eqld6R7C8"",""link"":""https://www.youtube.com/shorts/j4eqld6R7C8""}",,
否,"{""link"":""https://www.instagram.com/professor_pouncey"",""text"":""https://www.instagram.com/professor_pouncey""}",instagramreels,否,professor_pouncey,"yozma, yozmasport，in10",US-Stefan-038,US,Stefan,687000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@MakeTheHoodSmile/shorts"",""text"":""https://www.youtube.com/@MakeTheHoodSmile/shorts""}",youtubeshort,否,makethehoodsmile,"yozma, yozmasport，in10",US-Stefan-041,US,Stefan,720000,营销总表,2026-06-07,P3 暂缓,35,当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.facebook.com/GeorgeFotosphotography/?ref=NONE_xav_ig_profile_page_web#"",""text"":""https://www.facebook.com/GeorgeFotosphotography/?ref=NONE_xav_ig_profile_page_web#""}",facebook,否,wanderwithgeorge,"yozma, yozmasport，in10",US-Stefan-001,US,Stefan,10000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@mooremafia"",""text"":""https://www.tiktok.com/@mooremafia""}",tiktok,,"Moore Mafia
Big Kountry","yozma, yozmasport，in10",US-Stefan-128,US,Stefan,296000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@oscarthenug-2"",""text"":""https://www.youtube.com/@oscarthenug-2""}",youtubevideo,否,oscarthenug2,"yozma, yozmasport，in10",US-Lexy-051,US,Lexy,510100,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@MattMcHugh257/videos"",""text"":""https://www.youtube.com/@MattMcHugh257/videos""}",youtubevideo,否,mchughm257,"yozma, yozmasport，in10",US-Stefan-120,US,Stefan,78700,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@SurronLondon/videos"",""text"":""https://www.youtube.com/@SurronLondon/videos""}",youtube,,surron_london,"yozma, yozmasport，in10",UK-Zoe-001,UK,Zoe,46800,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@itswill0_o"",""text"":""https://www.tiktok.com/@itswill0_o""}",tiktok,否,itswill0_o,"yozma, yozmasport，in10",US-Lexy-066,US,Lexy,426600,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@r6kiddd/videos"",""text"":""https://www.youtube.com/@r6kiddd/videos""}",youtubevideo,否,r6kiddd,"yozma, yozmasport，in10",US-Stefan-122,US,Stefan,196000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.instagram.com/ampedbyj/"",""text"":""https://www.instagram.com/ampedbyj/""}",instagramreels,否,ampedbyj,"yozma, yozmasport，in10",US-Stefan-024,US,Stefan,13000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Jonesycrew/shorts"",""text"":""https://www.youtube.com/@Jonesycrew/shorts""}",youtube,,JONESY CREW,"yozma, yozmasport，in10",US-Stefan-058,US,Stefan,57300,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/raimundoguzman"",""text"":""https://www.instagram.com/raimundoguzman""}",instagramreels,否,raimundoguzman,"yozma, yozmasport，in10",CA-Ryan-005,CA,Ryan,,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
